Day,Hour,Temp,PredictedKwh
12/20/2014,9,30.11,17.40896864
12/20/2014,10,30.92,19.64979163
12/20/2014,11,33.08,25.63068976
12/20/2014,12,33.08,25.63068976
12/20/2014,13,33.98,28.125036
12/20/2014,14,33.8,27.62605827
12/20/2014,15,33.98,28.125036
12/20/2014,16,33.08,25.63068976
12/20/2014,17,33.44,26.62826552
12/20/2014,18,33.89,27.87554035
12/20/2014,19,35.06,-38.32447216
12/20/2014,20,35.06,-38.32447216
12/20/2014,21,35.06,-38.32447216
12/20/2014,22,35.06,-38.32447216
12/20/2014,23,35.06,-38.32447216
12/21/2014,0,35.06,-50.27186045
12/21/2014,1,35.33,-49.52280394
12/21/2014,2,35.06,-50.27186045
12/21/2014,3,35.06,-50.27186045
12/21/2014,4,32,-58.75263768
12/21/2014,5,32,-58.75263768
12/21/2014,6,30.92,-61.74211035
12/21/2014,7,30.02,5.212667821
12/21/2014,8,30.02,5.212667821
12/21/2014,9,30.11,5.46158035
12/21/2014,10,30.92,7.702403348
12/21/2014,11,32,10.69187602
12/21/2014,12,32,10.69187602
12/21/2014,13,33.08,13.68330147
12/21/2014,14,33.08,13.68330147
12/21/2014,15,33.8,15.67866998
12/21/2014,16,33.98,16.17764772
12/21/2014,17,33.89,15.92815207
12/21/2014,18,33.98,16.17764772
12/21/2014,19,33.98,-53.26686598
12/21/2014,20,33.98,-53.26686598
12/21/2014,21,33.98,-53.26686598
12/21/2014,22,33.98,-53.26686598
12/21/2014,23,33.98,-53.26686598
12/22/2014,0,33.08,20.8075204
12/22/2014,1,33.08,20.8075204
12/22/2014,2,33.08,20.8075204
12/22/2014,3,33.08,20.8075204
12/22/2014,4,33.08,20.8075204
12/22/2014,5,33.08,20.8075204
12/22/2014,6,33.56,22.13766964
12/22/2014,7,33.98,92.74638034
12/22/2014,8,35.06,95.74138588
12/22/2014,9,37.94,103.7376142
12/22/2014,10,39.92,109.2430764
12/22/2014,11,42.08,115.2565207
12/22/2014,12,44.06,120.7757066
12/22/2014,13,43.46,119.1025329
12/22/2014,14,42.44,116.2595209
12/22/2014,15,41.9,114.755102
12/22/2014,16,41,112.2488222
12/22/2014,17,41,112.2488222
12/22/2014,18,40.1,109.7438984
12/22/2014,19,42.56,47.14938877
12/22/2014,20,41,42.80430846
12/22/2014,21,42.08,45.81200703
12/22/2014,22,42.08,45.81200703
12/22/2014,23,42.08,45.81200703
12/23/2014,0,42.89,50.06029385
12/23/2014,1,42.89,50.06029385
12/23/2014,2,42.86,49.97667962
12/23/2014,3,42.86,49.97667962
12/23/2014,4,43.43,51.56560771
12/23/2014,5,42.98,50.31114559
12/23/2014,6,42.845,49.93487306
12/23/2014,7,44.06,122.7669379
12/23/2014,8,44.06,122.7669379
12/23/2014,9,44.96,125.2778285
12/23/2014,10,44.06,122.7669379
12/23/2014,11,44.96,125.2778285
12/23/2014,12,44.96,125.2778285
12/23/2014,13,44.72,124.6081251
12/23/2014,14,44.96,125.2778285
12/23/2014,15,44.96,125.2778285
12/23/2014,16,45.68,127.2875174
12/23/2014,17,46.04,128.2926873
12/23/2014,18,46.04,128.2926873
12/23/2014,19,46.04,58.84817357
12/23/2014,20,46.04,58.84817357
12/23/2014,21,42.98,50.31114559
12/23/2014,22,42.98,50.31114559
12/23/2014,23,42.08,47.80323841
12/24/2014,0,42.08,49.7944698
12/24/2014,1,42.08,49.7944698
12/24/2014,2,42.08,49.7944698
12/24/2014,3,42.08,49.7944698
12/24/2014,4,41,46.78677123
12/24/2014,5,41,46.78677123
12/24/2014,6,41,46.78677123
12/24/2014,7,42.08,119.2389835
12/24/2014,8,42.08,119.2389835
12/24/2014,9,42.98,121.7468907
12/24/2014,10,44.96,127.2690599
12/24/2014,11,44.96,127.2690599
12/24/2014,12,44.96,127.2690599
12/24/2014,13,44.96,127.2690599
12/24/2014,14,44.96,127.2690599
12/24/2014,15,44.96,127.2690599
12/24/2014,16,46.04,130.2839186
12/24/2014,17,44.78,126.7667733
12/24/2014,18,46.22,130.786585
12/24/2014,19,46.04,60.83940495
12/24/2014,20,44.78,57.3222596
12/24/2014,21,44.78,57.3222596
12/24/2014,22,46.04,60.83940495
12/24/2014,23,44.96,57.82454621
12/25/2014,0,44.78,59.31349099
12/25/2014,1,44.72,59.14607417
12/25/2014,2,46.94,65.34451032
12/25/2014,3,57.92,96.12296559
12/25/2014,4,58.46,97.64186751
12/25/2014,5,57.56,95.11063553
12/25/2014,6,57.56,95.11063553
12/25/2014,7,55.67,159.2439761
12/25/2014,8,57.02,163.037061
12/25/2014,9,53.96,154.4437822
12/25/2014,10,51.98,148.8917789
12/25/2014,11,50,143.3463391
12/25/2014,12,51.08,146.3703108
12/25/2014,13,51.08,146.3703108
12/25/2014,14,50,143.3463391
12/25/2014,15,48.02,137.8074628
12/25/2014,16,46.94,134.789024
12/25/2014,17,46.94,134.789024
12/25/2014,18,46.94,134.789024
12/25/2014,19,46.04,62.83063633
12/25/2014,20,46.04,62.83063633
12/25/2014,21,44.96,59.81577759
12/25/2014,22,44.96,59.81577759
12/25/2014,23,44.06,57.30488701
12/26/2014,0,42.98,56.28483973
12/26/2014,1,42.08,53.77693256
12/26/2014,2,42.08,53.77693256
12/26/2014,3,39.92,47.76348819
12/26/2014,4,41,50.76923399
12/26/2014,5,37.94,42.25802603
12/26/2014,6,37.94,42.25802603
12/26/2014,7,39.02,114.7047054
12/26/2014,8,42.98,125.7293534
12/26/2014,9,44.96,131.2515227
12/26/2014,10,46.04,134.2663814
12/26/2014,11,46.94,136.7802554
12/26/2014,12,48.02,139.7986942
12/26/2014,13,48.92,142.3155516
12/26/2014,14,48.92,142.3155516
12/26/2014,15,48.02,139.7986942
12/26/2014,16,48.02,139.7986942
12/26/2014,17,46.04,134.2663814
12/26/2014,18,44.96,131.2515227
12/26/2014,19,44.06,59.29611839
12/26/2014,20,42.98,56.28483973
12/26/2014,21,42.98,56.28483973
12/26/2014,22,42.08,53.77693256
12/26/2014,23,41,50.76923399
12/27/2014,0,39.92,-24.82278167
12/27/2014,1,39.92,-24.82278167
12/27/2014,2,41,-21.81703587
12/27/2014,3,41,-21.81703587
12/27/2014,4,39.92,-24.82278167
12/27/2014,5,41,-21.81703587
12/27/2014,6,39.92,-24.82278167
12/27/2014,7,41,47.62747782
12/27/2014,8,42.98,53.14308357
12/27/2014,9,44.96,58.66525281
12/27/2014,10,48.02,67.21242436
12/27/2014,11,50,72.75130067
12/27/2014,12,51.98,78.29674046
12/27/2014,13,51.8,77.79233836
12/27/2014,14,51.98,78.29674046
12/27/2014,15,50,72.75130067
12/27/2014,16,48.02,67.21242436
12/27/2014,17,46.94,64.19398553
12/27/2014,18,46.04,61.68011155
12/27/2014,19,44.96,-10.77926089
12/27/2014,20,44.06,-13.29015147
12/27/2014,21,42.98,-16.30143013
12/27/2014,22,44.06,-13.29015147
12/27/2014,23,42.98,-16.30143013
12/28/2014,0,44.96,-22.72664918
12/28/2014,1,44.96,-22.72664918
12/28/2014,2,44.96,-22.72664918
12/28/2014,3,44.96,-22.72664918
12/28/2014,4,44.96,-22.72664918
12/28/2014,5,44.96,-22.72664918
12/28/2014,6,44.96,-22.72664918
12/28/2014,7,46.04,49.73272326
12/28/2014,8,46.04,49.73272326
12/28/2014,9,46.94,52.24659725
12/28/2014,10,48.02,55.26503608
12/28/2014,11,48.92,57.78189347
12/28/2014,12,50,60.80391238
12/28/2014,13,51.08,63.82788407
12/28/2014,14,51.98,66.34935218
12/28/2014,15,48.92,57.78189347
12/28/2014,16,46.94,52.24659725
12/28/2014,17,46.94,52.24659725
12/28/2014,18,46.04,49.73272326
12/28/2014,19,44.96,-22.72664918
12/28/2014,20,44.06,-25.23753976
12/28/2014,21,42.08,-30.75672559
12/28/2014,22,41,-33.76442416
12/28/2014,23,39.92,-36.77016995
12/29/2014,0,39.02,37.29526621
12/29/2014,1,37.94,34.2931005
12/29/2014,2,37.04,31.79278745
12/29/2014,3,35.96,28.79420183
12/29/2014,4,35.96,28.79420183
12/29/2014,5,35.96,28.79420183
12/29/2014,6,35.06,26.29687218
12/29/2014,7,35.06,95.74138588
12/29/2014,8,35.06,95.74138588
12/29/2014,9,39.02,106.7397799
12/29/2014,10,39.92,109.2430764
12/29/2014,11,41,112.2488222
12/29/2014,12,39.92,109.2430764
12/29/2014,13,41,112.2488222
12/29/2014,14,39.92,109.2430764
12/29/2014,15,39.92,109.2430764
12/29/2014,16,39.02,106.7397799
12/29/2014,17,37.94,103.7376142
12/29/2014,18,35.06,95.74138588
12/29/2014,19,33.08,20.8075204
12/29/2014,20,32,17.81609495
12/29/2014,21,30.92,14.82662227
12/29/2014,22,30.92,14.82662227
12/29/2014,23,30.02,12.33688675
12/30/2014,0,28.04,8.855473418
12/30/2014,1,26.96,5.873160915
12/30/2014,2,24.98,0.410659782
12/30/2014,3,24.08,-2.070125529
12/30/2014,4,24.08,-2.070125529
12/30/2014,5,23,-5.045277859
12/30/2014,6,23,-5.045277859
12/30/2014,7,23,64.39923584
12/30/2014,8,24.08,67.37438817
12/30/2014,9,24.98,69.85517348
12/30/2014,10,26.06,72.8339059
12/30/2014,11,26.96,75.31767461
12/30/2014,12,28.04,78.29998712
12/30/2014,13,28.94,80.78673924
12/30/2014,14,30.02,83.77263183
12/30/2014,15,28.94,80.78673924
12/30/2014,16,28.04,78.29998712
12/30/2014,17,26.96,75.31767461
12/30/2014,18,26.06,72.8339059
12/30/2014,19,24.98,0.410659782
12/30/2014,20,24.98,0.410659782
12/30/2014,21,24.08,-2.070125529
12/30/2014,22,23,-5.045277859
12/30/2014,23,21.92,-8.018477415
12/31/2014,0,21.02,-8.503420628
12/31/2014,1,19.94,-11.4730401
12/31/2014,2,19.94,-11.4730401
12/31/2014,3,19.94,-11.4730401
12/31/2014,4,19.94,-11.4730401
12/31/2014,5,19.94,-11.4730401
12/31/2014,6,19.94,-11.4730401
12/31/2014,7,21.02,60.94109307
12/31/2014,8,24.08,69.36561955
12/31/2014,9,26.06,74.82513728
12/31/2014,10,28.04,80.2912185
12/31/2014,11,28.94,82.77797062
12/31/2014,12,28.94,82.77797062
12/31/2014,13,28.94,82.77797062
